,Title,Published_date,View_count,likeCount,favoriteCount,Month
46,"नयाँको पालो आयो, पुराना सच्चिनुपर्छ - प्रारम्भिक मतपरिणामबारे विश्लेषण । Kantipur Samachar",2022-11-21,4890,81,0,Nov
47,Standing and Leg Balancing Sequence | Kantipur Yoga With Zahyan | Episode 53 | 08 November 2022,2022-11-21,1010,10,0,Nov
48,कान्तिपुर निर्वाचन विशेष - Kantipur Nirwachan Bishesh | Election Day in Nepal - LIVE,2022-11-20,204600,2440,0,Nov
49,"Kantipur Samachar | कान्तिपुर समाचार, ०४ मंसिर २०७९",2022-11-20,83995,1533,0,Nov
50,"Pradesh Bishesh | प्रदेश विशेष, ०४ मंसिर २०७९",2022-11-20,7624,186,0,Nov
51,के भन्छन् मतदान गरेका ज्येष्ठ नागरिकदेखि तन्नेरी पुस्ता ?,2022-11-20,3640,73,0,Nov
52,सातै प्रदेशबाट निरन्तर चुनावी अपडेट : कान्तिपुर हेरे पुग्छ,2022-11-20,4444,71,0,Nov
53,सप्तरीमा मतदान केन्द्रमा झडप,2022-11-20,2169,50,0,Nov
54,यस्तो देखियो मतदान केन्द्रहरुमा सुरक्षा अवस्था,2022-11-20,1753,15,0,Nov
55,मतदान गर्न पाउँदा अपांगता भएका व्यक्तिहरु खुशी,2022-11-20,634,6,0,Nov
56,"सकारात्मक परिवर्तनका लागि मतदान - तोसिमा कार्की, राष्ट्रिय स्वतन्त्र पार्टी",2022-11-20,10196,410,0,Nov
57,मतदान गर्न पाएकोमा कैदीबन्दी खुशी,2022-11-20,1005,18,0,Nov
58,राजनीतिक नेतृत्व ठीक नभएसम्म विकास सम्भव छैन - बाबुराम भट्टराई,2022-11-20,1766,25,0,Nov
59,मतदानपछि प्रकाशमान सिंह र रवीन्द्र मिश्रले के भने ?,2022-11-20,4306,73,0,Nov
60,सिन्धुपाल्चोकमा किरियापुत्रीले गरे मतदान,2022-11-20,977,9,0,Nov
61,"संसदलाई नयाँ नेतृत्व चाहिएको छ  - गगन थापा, महामन्त्री, नेपाली कांग्रेस",2022-11-20,4301,122,0,Nov
62,यसरी गरेकी थिईन भुटानी शरणार्थीहरुको सहयोग |  Naari - Ek Shakti Clip,2022-11-20,204,2,0,Nov
63,Kantipur Election Special 2079 - Kantipur TV HD | Election Day - LIVE,2022-11-20,10356,125,0,Nov
64,मतदाता भन्छन् - देश विकास गर्ने उम्मेदवारलाई मत दिएका छौँ,2022-11-20,4966,149,0,Nov
65,कान्तिपुर निर्वाचन विशेष - Kantipur Nirwachan Bishesh | Election Day - LIVE,2022-11-20,32621,537,0,Nov
66,"A look into Provincial and Parliamentary Election, 2022 | Kantipur News",2022-11-20,2766,26,0,Nov
67,Kantipur Election Special 2079 - Kantipur TV HD | Election Day - LIVE,2022-11-20,14480,190,0,Nov
68,दलीय शासन प्रणालीलाई जनताले बुझेका छन् - पम्फा भुसाल,2022-11-20,1943,49,0,Nov
69,निर्वाचनमा कस्ता कस्ता उम्मेदवार ?,2022-11-20,3758,57,0,Nov
70,मतदानमा उत्साहपूर्ण सहभागिता | कान्तिपुर निर्वाचन विशेष - Kantipur Nirwachan Bishesh | Election LIVE,2022-11-20,14220,209,0,Nov
71,प्रधानमन्त्री पदकै कारण गठबन्धन टुट्दैन :  पुष्पकमल दाहाल,2022-11-20,7577,142,0,Nov
72,देशभर मतदान सुरु | कान्तिपुर निर्वाचन विशेष - Kantipur Nirwachan Bishesh | Election Day - LIVE,2022-11-20,31081,544,0,Nov
73,कान्तिपुर निर्वाचन विशेष - Kantipur Nirwachan Bishesh | Election Day - LIVE,2022-11-20,6479,123,0,Nov
